UG01_Comando.Sinc_Desligar,UG01_750_862,1x,12331,,Undesignated
UG01_Comando.Disj52G_Abrir,UG01_750_862,1x,12332,,Undesignated
UG01_Comando.Rele86M_Atuar,UG01_750_862,1x,12333,,Undesignated
UG01_Comando.Rele86E_Atuar,UG01_750_862,1x,12334,,Undesignated
UG01_Comando.Rele86H_Atuar,UG01_750_862,1x,12335,,Undesignated
UG01_Comando.CtrlP_Ligar,UG01_750_862,1x,12336,,Undesignated
UG01_Comando.CtrlP_Desligar,UG01_750_862,1x,12337,,Undesignated
UG01_Comando.CtrlP_ReligamentoLigar,UG01_750_862,1x,12338,,Undesignated
UG01_Comando.CtrlP_ReligamentoDesligar,UG01_750_862,1x,12339,,Undesignated
UG01_Comando.CtrlQ_ModoFPLigar,UG01_750_862,1x,12340,,Undesignated
UG01_Comando.CtrlQ_ModoFPDesligar,UG01_750_862,1x,12341,,Undesignated
UG01_Comando.CtrlQ_ModoVARLigar,UG01_750_862,1x,12342,,Undesignated
UG01_Comando.CtrlQ_ModoVARDesligar,UG01_750_862,1x,12343,,Undesignated
UG01_Comando.Ctrl_Modo_Manual_Habilitado,UG01_750_862,1x,12344,,Undesignated
UG01_Comando.Ctrl_Modo_Manual_Desabilitado,UG01_750_862,1x,12345,,Undesignated
UG01_Status.AlarmeAtivo,UG01_750_862,1x,16385,,Undesignated
UG01_Status.AlarmeLatente,UG01_750_862,1x,16386,,Undesignated
UG01_Status.Botao_Emergencia,UG01_750_862,1x,16387,,Undesignated
UG01_Status.Emergencia_Remota,UG01_750_862,1x,16388,,Undesignated
UG01_Status.DisjQCCV_Status,UG01_750_862,1x,16389,,Undesignated
UG01_Status.DisjQCAG_Status,UG01_750_862,1x,16390,,Undesignated
UG01_Status.DisjQCAR_Status,UG01_750_862,1x,16391,,Undesignated
UG01_Status.ModoAuto_AlvoUP,UG01_750_862,1x,16392,,Undesignated
UG01_Status.ModoAuto_AlvoUPGM,UG01_750_862,1x,16393,,Undesignated
UG01_Status.ModoAuto_AlvoUMD,UG01_750_862,1x,16394,,Undesignated
UG01_Status.ModoAuto_AlvoUPS,UG01_750_862,1x,16395,,Undesignated
UG01_Status.ModoAuto_AlvoUS,UG01_750_862,1x,16396,,Undesignated
UG01_Status.ModoAuto_UP,UG01_750_862,1x,16397,,Undesignated
UG01_Status.ModoAuto_UPGM,UG01_750_862,1x,16398,,Undesignated
UG01_Status.ModoAuto_UMD,UG01_750_862,1x,16399,,Undesignated
UG01_Status.ModoAuto_UPS,UG01_750_862,1x,16400,,Undesignated
UG01_Status.ModoAuto_US,UG01_750_862,1x,16401,,Undesignated
UG01_Status.ModoAuto_Transicao,UG01_750_862,1x,16402,,Undesignated
UG01_Status.ModoAuto_TransicaoUPtoUPGM,UG01_750_862,1x,16403,,Undesignated
UG01_Status.ModoAuto_TransicaoUPGMtoUMD,UG01_750_862,1x,16404,,Undesignated
UG01_Status.ModoAuto_TransicaoUMDtoUPS,UG01_750_862,1x,16405,,Undesignated
UG01_Status.ModoAuto_TransicaoUPStoUS,UG01_750_862,1x,16406,,Undesignated
UG01_Status.ModoAuto_TransicaoUStoUPS,UG01_750_862,1x,16407,,Undesignated
UG01_Status.ModoAuto_TransicaoUPStoUMD,UG01_750_862,1x,16408,,Undesignated
UG01_Status.ModoAuto_TransicaoUMDtoUPGM,UG01_750_862,1x,16409,,Undesignated
UG01_Status.ModoAuto_TransicaoUPGMtoUP,UG01_750_862,1x,16410,,Undesignated
UG01_Status.QTA_Emergencia_Remota,UG01_750_862,1x,16411,,Undesignated
UG01_Status.QTA_Comporta_FCFechada,UG01_750_862,1x,16412,,Undesignated
UG01_Status.QTA_Comporta_FCAberta,UG01_750_862,1x,16413,,Undesignated
UG01_Status.QTA_Comporta_FCCracking,UG01_750_862,1x,16414,,Undesignated
UG01_Status.QTA_Comporta_FCReposicao,UG01_750_862,1x,16415,,Undesignated
UG01_Status.QTA_Bomba1_Ligada,UG01_750_862,1x,16416,,Undesignated
UG01_Status.QTA_Bomba1_TRIP,UG01_750_862,1x,16417,,Undesignated
UG01_Status.QTA_Bomba2_Ligada,UG01_750_862,1x,16418,,Undesignated
UG01_Status.QTA_Bomba2_TRIP,UG01_750_862,1x,16419,,Undesignated
UG01_Status.QTA_Comporta_Abrindo,UG01_750_862,1x,16420,,Undesignated
UG01_Status.QTA_Comporta_Fechando,UG01_750_862,1x,16421,,Undesignated
UG01_Status.QTA_ComportaTravadaTimeOut,UG01_750_862,1x,16422,,Undesignated
UG01_Status.QTA_Falha_Comunicacao,UG01_750_862,1x,16423,,Undesignated
UG01_Status.PSA_Emergencia,UG01_750_862,1x,16424,,Undesignated
UG01_Status.CtrlP_Status,UG01_750_862,1x,16432,,Undesignated
UG01_Status.CtrlP_Religamento,UG01_750_862,1x,16433,,Undesignated
UG01_Status.CtrlQ_ModoFP,UG01_750_862,1x,16434,,Undesignated
UG01_Status.CtrlQ_ModoVAR,UG01_750_862,1x,16435,,Undesignated
UG01_Status.UHLM_Desligada,UG01_750_862,1x,16436,,Undesignated
UG01_Status.UHLM_Operacional,UG01_750_862,1x,16437,,Undesignated
UG01_Status.UHLM_StatusBomba1,UG01_750_862,1x,16438,,Undesignated
UG01_Status.UHLM_StatusBomba2,UG01_750_862,1x,16439,,Undesignated
UG01_Status.UHLM_Bomba1_Trip,UG01_750_862,1x,16440,,Undesignated
